"datum","gkz","neu_positive_tests"
"2020-03-17","616",4
"2020-03-17","617",12
"2020-03-17","622",2
"2020-03-17","623",1
"2020-03-17","701",20
"2020-03-17","702",2
"2020-03-17","703",6
"2020-03-17","704",1
"2020-03-17","705",1
"2020-03-17","706",7
"2020-03-17","707",12
"2020-03-17","708",2
"2020-03-17","709",2
"2020-03-17","801",5
"2020-03-17","802",5
"2020-03-17","803",2
"2020-03-17","804",10
"2020-03-17","901",2
"2020-03-17","902",3
"2020-03-17","903",3
"2020-03-17","904",4
"2020-03-17","906",3
"2020-03-17","908",3
"2020-03-17","910",3
"2020-03-17","911",6
"2020-03-17","913",2
"2020-03-17","914",1
"2020-03-17","915",2
"2020-03-17","916",1
"2020-03-17","917",1
"2020-03-17","918",4
"2020-03-17","919",3
"2020-03-17","920",1
"2020-03-17","921",3
"2020-03-17","922",2
"2020-03-18","105",1
"2020-03-18","107",1
"2020-03-18","108",1
"2020-03-18","109",2
"2020-03-18","201",3
"2020-03-18","205",1
"2020-03-18","206",1
"2020-03-18","208",3
"2020-03-18","305",4
"2020-03-18","306",1
"2020-03-18","307",1
"2020-03-18","312",1
"2020-03-18","313",2
"2020-03-18","315",2
"2020-03-18","316",3
"2020-03-18","317",3
"2020-03-18","318",1
"2020-03-18","319",10
"2020-03-18","321",4
"2020-03-18","401",5
"2020-03-18","403",2
"2020-03-18","404",1
"2020-03-18","405",1
"2020-03-18","406",8
"2020-03-18","407",1
"2020-03-18","408",1
"2020-03-18","409",3
"2020-03-18","410",3
"2020-03-18","411",7
"2020-03-18","412",2
"2020-03-18","413",3
"2020-03-18","414",3
"2020-03-18","415",4
"2020-03-18","416",9
"2020-03-18","417",3
"2020-03-18","418",1
"2020-03-18","501",4
"2020-03-18","502",2
"2020-03-18","503",4
"2020-03-18","504",13
"2020-03-18","506",1
"2020-03-18","601",12
"2020-03-18","603",3
"2020-03-18","606",1
"2020-03-18","610",6
"2020-03-18","617",4
"2020-03-18","619",2
"2020-03-18","621",1
"2020-03-18","622",5
"2020-03-18","623",3
"2020-03-18","701",12
"2020-03-18","702",5
"2020-03-18","703",6
"2020-03-18","704",13
"2020-03-18","705",16
"2020-03-18","706",26
"2020-03-18","707",2
"2020-03-18","709",4
"2020-03-18","801",19
"2020-03-18","802",3
"2020-03-18","803",1
"2020-03-18","804",9
"2020-03-18","901",2
"2020-03-18","902",4
"2020-03-18","903",2
"2020-03-18","904",1
"2020-03-18","905",1
"2020-03-18","906",3
"2020-03-18","907",1
"2020-03-18","908",2
"2020-03-18","910",3
"2020-03-18","911",2
"2020-03-18","912",2
"2020-03-18","913",4
"2020-03-18","914",5
"2020-03-18","916",1
"2020-03-18","917",3
"2020-03-18","919",5
"2020-03-18","920",3
"2020-03-18","921",5
"2020-03-18","922",3
"2020-03-18","923",1
